
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Aged 10-14"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"South Lanarkshire","S12000029",18298,18200,17868,17339,16974,16742,16602,16683,16940,17416,17732,17882,18169
"Stirling","S12000030",5669,5692,5628,5426,5285,5202,5166,5126,5247,5308,5277,5226,5202
"West Dunbartonshire","S12000039",5291,5136,4946,4759,4623,4601,4610,4687,4826,4934,5037,5093,5177
"West Lothian","S12000040",11214,11041,10831,10669,10468,10431,10605,10786,11069,11452,11783,11847,12117
"Antrim and Newtownabbey","N09000001",9040,9007,8911,8794,8669,8610,8649,8800,9022,9398,9701,9915,9858
"Armagh City, Banbridge and Craigavon","N09000002",13533,13418,13252,13125,12861,12840,12912,13361,13844,14582,15131,15561,15814
"Belfast","N09000003",20848,20405,19838,19026,18499,18256,18225,18392,19028,19833,20542,21071,21197
"Causeway Coast and Glens","N09000004",9670,9525,9399,9185,8871,8735,8717,8684,8749,9041,9233,9420,9121
"Derry City and Strabane","N09000005",11395,11151,10753,10354,10040,9715,9597,9545,9588,9785,10083,10361,10451
"Fermanagh and Omagh","N09000006",8075,8001,7916,7793,7693,7621,7534,7588,7705,7804,8041,8269,8086
"Lisburn and Castlereagh","N09000007",8798,8756,8569,8320,8159,8100,8091,8219,8466,8850,9260,9455,9792
"Mid and East Antrim","N09000008",8791,8644,8468,8233,8167,8074,8066,8232,8344,8559,8672,8839,8485
"Mid Ulster","N09000009",9830,9755,9678,9642,9500,9452,9508,9696,9929,10285,10690,10933,11009
"Newry, Mourne and Down","N09000010",12626,12471,12236,12040,11760,11579,11576,11611,11932,12330,12780,13074,13158
"Ards and North Down","N09000011",9545,9454,9328,9157,9018,8967,8986,9183,9515,9855,9994,10119,10155



