LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_DuringYear_pc,Miss_Miss_Incs,Miss_Miss_Incs_av,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_DuringYear_pc,Miss_Away_Incs,Miss_Away_Incs_av,Miss_Away_MoreOnce,Miss_Away_31Mar
5,E08000037,LA,390,Gateshead,66,12,575,8.7,44,c,17,3,29,1.7,c,0
8,E08000021,LA,391,Newcastle upon Tyne,94,10,470,5,65,c,0,.,0,.,0,0
9,E08000022,LA,392,North Tyneside,61,14,379,6.2,44,c,0,.,0,.,0,0
12,E08000023,LA,393,South Tyneside,36,8,143,4,23,0,9,2,11,1.2,c,0
14,E08000024,LA,394,Sunderland,109,12,706,6.5,81,c,36,4,71,2,14,0
156,E06000053,LA,420,Isles of Scilly,0,.,0,.,0,0,0,.,0,.,0,0
149,E06000022,LA,800,Bath and North East Somerset,25,10,54,2.2,11,0,14,5,28,2,7,0
151,E06000023,LA,801,"Bristol, City of",71,8,365,5.1,39,c,37,4,72,1.9,17,c
157,E06000024,LA,802,North Somerset,38,12,148,3.9,21,c,0,.,0,.,0,0
161,E06000025,LA,803,South Gloucestershire,53,18,211,4,23,0,0,.,0,.,0,0
6,E06000001,LA,805,Hartlepool,45,12,274,6.1,36,0,12,3,17,1.4,c,0
7,E06000002,LA,806,Middlesbrough,67,10,683,10.2,50,c,7,1,25,3.6,c,c
11,E06000003,LA,807,Redcar and Cleveland,47,12,226,4.8,28,0,14,3,28,2,6,0
13,E06000004,LA,808,Stockton-on-Tees,69,11,393,5.7,45,c,0,.,0,.,0,0
45,E06000010,LA,810,"Kingston Upon Hull, City of",114,11,776,6.8,61,9,29,3,44,1.5,9,0
44,E06000011,LA,811,East Riding of Yorkshire,55,13,354,6.4,39,c,0,.,0,.,0,0
48,E06000012,LA,812,North East Lincolnshire,45,8,273,6.1,30,0,0,.,0,.,0,0
