time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,CPP_start_rate,CPP_child_start,CPP_child_start_rate,CPP_end,CPP_end_rate,CPP_child_end,CPP_child_end_rate,CPP_anypoint,CPP_anypoint_rate,CPP_child_anypoint,CPP_child_anypoint_rate,CPP_At31,CPP_At31_rate
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Child Protection Plans,315,54.8,315,54.8,244,42.4,244,42.4,491,85.4,484,84.2,247,43
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Child Protection Plans,812,47.3,805,46.9,791,46.1,786,45.8,1437,83.7,1417,82.5,646,37.6
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Child Protection Plans,263,50.7,262,50.5,281,54.2,280,54,469,90.5,467,90.1,188,36.3
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Child Protection Plans,188,47.3,188,47.3,198,49.8,198,49.8,358,90.1,356,89.6,160,40.3
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Child Protection Plans,678,44.1,678,44.1,686,44.7,686,44.7,1144,74.5,1135,73.9,458,29.8
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Child Protection Plans,215,48.2,215,48.2,196,43.9,196,43.9,366,82,365,81.7,170,38.1
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Child Protection Plans,184,64.8,184,64.8,192,67.6,191,67.3,314,110.6,310,109.2,122,43
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Child Protection Plans,392,78,389,77.4,372,74,372,74,707,140.6,698,138.9,335,66.6
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Child Protection Plans,734,58.4,723,57.5,721,57.3,720,57.3,1296,103.1,1278,101.6,575,45.7
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Child Protection Plans,591,55.6,590,55.5,621,58.4,620,58.3,1157,108.8,1154,108.5,536,50.4
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Child Protection Plans,1343,47.2,1336,47,1501,52.8,1494,52.5,2439,85.8,2389,84,938,33
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Child Protection Plans,147,59.4,147,59.4,184,74.4,184,74.4,310,125.3,308,124.5,126,50.9
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Child Protection Plans,1520,44.2,1518,44.1,1486,43.2,1474,42.9,2818,82,2789,81.1,1332,38.7
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Child Protection Plans,583,89.7,577,88.8,475,73.1,473,72.8,938,144.4,918,141.3,463,71.3
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Child Protection Plans,224,32.6,222,32.3,233,33.9,232,33.7,365,53,361,52.5,132,19.2
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Child Protection Plans,747,51.1,744,50.9,807,55.2,807,55.2,1350,92.4,1343,91.9,543,37.2
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Child Protection Plans,299,68.3,299,68.3,291,66.5,289,66,494,112.9,485,110.8,203,46.4
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Child Protection Plans,252,68.1,252,68.1,277,74.8,276,74.6,501,135.4,500,135.1,224,60.5
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Child Protection Plans,317,73.5,317,73.5,234,54.3,234,54.3,535,124.1,534,123.9,301,69.8
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Child Protection Plans,562,109.6,560,109.2,437,85.2,435,84.8,833,162.5,825,160.9,396,77.2
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Child Protection Plans,697,26.4,697,26.4,968,36.7,965,36.6,1653,62.7,1608,61,685,26
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Child Protection Plans,170,47.8,169,47.5,182,51.1,182,51.1,288,80.9,287,80.6,106,29.8
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Child Protection Plans,1125,63.9,1114,63.3,948,53.8,945,53.7,1764,100.2,1729,98.2,816,46.3
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Child Protection Plans,213,61.3,208,59.9,172,49.5,172,49.5,303,87.2,294,84.7,131,37.7
