time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Individual,Schools,Education_Services,Health_Services,Housing,LA_Services,Police,Other_legal_agency,Other,Anonymous,Unknown
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Source of referral,8041,703,1023,537,1231,0,1069,1985,248,641,164,440
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Source of referral,5377,371,1061,39,926,102,1245,965,229,251,155,33
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Source of referral,2890,115,447,122,353,59,803,758,84,140,c,c
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Source of referral,7487,674,1592,59,954,129,1239,2183,495,102,c,c
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Source of referral,3577,277,533,94,569,33,557,1067,202,151,94,0
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Source of referral,2721,291,575,c,397,41,574,556,51,128,98,c
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Source of referral,6538,667,1441,175,1027,116,645,1568,354,399,106,40
2020,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Source of referral,2825,212,703,42,314,26,441,804,118,103,44,18
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Source of referral,1699,113,472,22,177,18,377,387,42,68,23,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Source of referral,3571,105,546,126,451,64,497,1021,94,117,47,503
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Source of referral,8367,631,1618,c,1287,124,969,2910,222,399,154,c
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Source of referral,4167,388,597,103,465,57,811,1111,194,274,95,72
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Source of referral,20220,2303,5007,0,3656,248,1600,4585,696,1262,531,332
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Source of referral,2670,308,710,8,367,41,253,519,70,346,0,48
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Source of referral,22349,1684,4301,77,2954,449,2706,7430,1228,713,315,492
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Source of referral,4904,444,1161,22,454,75,621,1700,130,199,87,11
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Source of referral,3090,278,575,96,472,35,392,951,111,113,59,8
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Source of referral,7502,545,724,929,985,35,1389,2239,209,323,90,34
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Source of referral,2664,155,580,12,376,63,451,725,124,137,35,6
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Source of referral,2564,192,460,73,372,64,263,930,55,128,19,8
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Source of referral,2540,104,613,21,344,0,391,825,91,107,44,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Source of referral,4840,221,946,6,761,28,980,1369,54,300,163,12
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Source of referral,8519,613,1534,101,1344,101,1066,2844,300,382,234,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Source of referral,1654,226,351,50,197,22,278,403,33,53,33,8
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Source of referral,9993,880,2028,0,1316,206,1755,2796,342,623,0,47
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Source of referral,1356,97,284,0,164,15,159,506,18,71,42,0
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Source of referral,1774,148,359,c,221,11,241,641,44,70,25,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Source of referral,931,100,191,0,148,9,203,197,25,21,37,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,Bournemouth Christchurch and Poole,Source of referral,3416,278,466,586,399,92,559,811,58,46,64,57
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Source of referral,4560,409,799,139,684,69,685,1238,124,204,197,12
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Source of referral,5196,492,939,c,825,110,621,1195,c,133,57,770
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Source of referral,3861,302,904,73,631,63,488,980,114,205,78,23
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Source of referral,3137,264,574,53,612,30,651,775,90,60,c,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Source of referral,8410,636,1954,74,1081,71,1737,2168,167,171,351,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Source of referral,21,c,7,0,c,0,c,c,0,c,0,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Source of referral,1029,137,142,11,198,c,113,298,29,69,21,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Source of referral,3164,293,602,112,523,c,322,867,159,135,125,c
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Source of referral,3619,314,459,32,520,15,538,1160,201,226,136,18
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Source of referral,1983,246,376,c,292,31,265,509,42,145,c,44
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Source of referral,3026,180,544,6,452,33,270,1142,143,99,76,81
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Source of referral,1869,139,298,c,199,c,435,520,29,152,67,21
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Source of referral,3860,239,774,68,605,97,544,1054,122,177,62,118
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Source of referral,1499,98,284,c,246,c,201,511,26,122,0,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Source of referral,100,6,8,9,c,c,24,35,c,9,0,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Source of referral,5031,390,1148,118,1075,52,585,1287,154,208,6,8
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Source of referral,1670,101,273,30,297,32,231,539,20,81,8,58
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Source of referral,3376,96,729,18,607,76,706,777,130,209,18,10
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Source of referral,2250,247,492,c,250,31,323,763,55,53,27,c
