LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,OC2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
9,E08000022,LA,392,North Tyneside,192,154,10,6,7,x,x,4,x,x,169,169,181,88,88,94,8,x,x,145,121,83,62,10,49,51,8,40,14.5
12,E08000023,LA,393,South Tyneside,195,147,x,x,10,x,x,5,x,x,186,169,192,95,87,98,15,15,100,148,140,95,61,19,60,44,14,43,15.1
14,E08000024,LA,394,Sunderland,343,232,12,5,16,12,x,5,75,x,313,338,330,91,99,96,38,37,97,269,269,100,174,21,74,65,8,28,10.4
149,E06000022,LA,800,Bath and North East Somerset,119,88,6,7,x,x,x,x,x,x,111,101,111,93,85,93,15,13,87,91,83,91,36,14,33,43,17,40,14.9
151,E06000023,LA,801,"Bristol, City of",496,375,7,2,0,0,0,0,.,.,469,418,422,95,84,85,32,x,x,392,326,83,161,27,138,49,8,42,14.4
157,E06000024,LA,802,North Somerset,161,117,6,5,10,x,0,6,x,0,143,139,136,89,86,84,9,x,x,127,112,88,47,12,53,42,11,47,15.6
161,E06000025,LA,803,South Gloucestershire,120,97,x,x,x,x,0,x,x,0,112,97,100,93,81,83,6,x,x,93,62,67,29,13,20,47,21,32,14.2
6,E06000001,LA,805,Hartlepool,194,120,x,x,x,0,0,x,0,0,175,155,176,90,80,91,26,24,92,143,143,100,77,12,54,54,8,38,13.1
7,E06000002,LA,806,Middlesbrough,333,198,10,5,x,0,0,x,0,0,299,253,299,90,76,90,53,45,85,250,240,96,131,21,88,55,9,37,13.6
11,E06000003,LA,807,Redcar and Cleveland,182,121,11,9,x,x,0,x,x,0,169,171,177,93,94,97,22,22,100,137,122,89,57,22,43,47,18,35,14.5
13,E06000004,LA,808,Stockton-on-Tees,341,209,8,4,x,0,x,x,0,x,313,285,328,92,84,96,59,59,100,261,177,68,82,22,73,46,12,41,14.7
45,E06000010,LA,810,"Kingston Upon Hull, City of",532,301,20,7,0,0,0,0,.,.,389,390,443,73,73,83,97,76,78,379,89,23,37,11,41,42,12,46,15.1
44,E06000011,LA,811,East Riding of Yorkshire,221,147,7,5,10,x,x,5,x,x,193,191,219,87,86,99,23,23,100,165,147,89,64,19,64,44,13,44,15.4
48,E06000012,LA,812,North East Lincolnshire,232,144,11,8,18,x,7,8,x,39,225,218,230,97,94,99,32,32,100,183,155,85,69,18,68,45,12,44,15.1
49,E06000013,LA,813,North Lincolnshire,157,109,x,x,x,x,0,x,x,0,154,149,157,98,95,100,16,16,100,125,125,100,52,17,56,42,14,45,15.1
50,E10000023,LA,815,North Yorkshire,288,217,x,x,x,0,0,x,0,0,258,253,248,90,88,86,29,29,100,219,210,96,95,18,97,45,9,46,15.1
54,E06000014,LA,816,York,144,106,6,6,x,0,x,x,0,x,134,66,105,93,46,73,15,8,53,110,107,97,47,20,40,44,19,37,15
86,E06000032,LA,821,Luton,257,188,9,5,14,x,10,5,x,71,218,239,223,85,93,87,21,16,76,199,157,79,44,24,89,28,15,57,17.8
81,E06000055,LA,822,Bedford,166,127,x,x,x,0,x,x,0,x,153,156,161,92,94,97,12,12,100,130,109,84,45,15,49,41,14,45,14.8
82,E06000056,LA,823,Central Bedfordshire,212,147,x,x,14,10,x,7,71,x,199,204,196,94,96,92,12,12,100,167,165,99,103,18,44,62,11,27,11.9
131,E10000002,LA,825,Buckinghamshire,329,249,10,4,x,0,0,x,0,0,303,284,262,92,86,80,27,26,96,252,189,75,84,24,81,44,13,43,14.9
137,E06000042,LA,826,Milton Keynes,285,192,x,x,7,0,x,2,0,x,249,256,267,87,90,94,36,34,94,215,184,86,85,27,72,46,15,39,14.4
57,E10000007,LA,830,Derbyshire,457,308,10,3,7,x,x,2,x,x,436,389,411,95,85,90,62,53,85,330,299,91,118,46,135,39,15,45,15.4
