time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_rate,Section47_child,Section47_child_rate,ICPC,ICPC_rate,ICPC_child,ICPC_child_rate,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Section 47s and Initial Child Protection Conferences,477,115.9,405,98.4,225,54.6,223,54.2,c,163,25,c,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Section 47s and Initial Child Protection Conferences,1332,96.8,1173,85.3,579,42.1,572,41.6,22,509,33,15,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Section 47s and Initial Child Protection Conferences,337,51.7,310,47.5,329,50.5,327,50.2,98,189,29,13,9,13,14
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Section 47s and Initial Child Protection Conferences,1775,56,1641,51.8,881,27.8,872,27.5,192,559,38,92,11,13,14
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Section 47s and Initial Child Protection Conferences,1912,69.6,1718,62.6,797,29,780,28.4,22,699,33,43,13,14,14
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Section 47s and Initial Child Protection Conferences,1219,209.9,1050,180.8,415,71.5,411,70.8,26,325,28,36,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Section 47s and Initial Child Protection Conferences,2452,142.4,2118,123,842,48.9,830,48.2,90,586,80,86,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Section 47s and Initial Child Protection Conferences,532,101.3,496,94.4,250,47.6,247,47,26,209,c,c,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Section 47s and Initial Child Protection Conferences,729,183.5,640,161.1,198,49.8,191,48.1,c,160,c,15,13,15,15
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Section 47s and Initial Child Protection Conferences,2175,142.3,1875,122.7,537,35.1,536,35.1,41,307,88,101,12,15,19
2022,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Section 47s and Initial Child Protection Conferences,609,134.2,567,124.9,176,38.8,175,38.6,83,71,13,9,8,11,13
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Section 47s and Initial Child Protection Conferences,858,297.6,719,249.4,276,95.7,275,95.4,10,223,17,26,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Section 47s and Initial Child Protection Conferences,811,161.1,717,142.5,390,77.5,383,76.1,61,283,24,22,11,13,14
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E06000060,Buckinghamshire,Section 47s and Initial Child Protection Conferences,3557,280.5,2912,229.6,1045,82.4,1041,82.1,39,586,134,286,14,15,22
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Section 47s and Initial Child Protection Conferences,1597,149.8,1420,133.2,691,64.8,683,64.1,45,516,47,83,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Section 47s and Initial Child Protection Conferences,7948,278.3,7095,248.4,1634,57.2,1605,56.2,118,1228,179,109,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Section 47s and Initial Child Protection Conferences,1002,406.1,895,362.7,274,111.1,270,109.4,23,196,13,42,12,13,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Section 47s and Initial Child Protection Conferences,6646,191.8,5706,164.6,1696,48.9,1678,48.4,163,1292,144,97,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Section 47s and Initial Child Protection Conferences,1215,185.7,1001,153,312,47.7,304,46.5,35,255,6,16,12,13,14
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Section 47s and Initial Child Protection Conferences,1036,149.5,928,133.9,292,42.1,287,41.4,39,179,21,53,13,14,16
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Section 47s and Initial Child Protection Conferences,2068,139.6,1850,124.9,838,56.6,828,55.9,79,424,180,155,12,14,18
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Section 47s and Initial Child Protection Conferences,1278,292.1,1087,248.4,280,64,271,61.9,c,224,36,c,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Section 47s and Initial Child Protection Conferences,1103,296.1,949,254.7,362,97.2,355,95.3,34,231,53,44,13,14,16
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Section 47s and Initial Child Protection Conferences,1308,299.6,1186,271.7,390,89.3,388,88.9,9,279,52,50,13,14,16
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Section 47s and Initial Child Protection Conferences,1754,338.6,1470,283.8,631,121.8,627,121,57,398,120,56,13,14,16
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Section 47s and Initial Child Protection Conferences,3502,132.1,2928,110.5,1165,44,1158,43.7,25,989,70,81,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Section 47s and Initial Child Protection Conferences,736,207,615,173,283,79.6,268,75.4,31,240,c,c,12,13,14
