Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"S12000013",581,,653,,699,,675,,620,,731,,605,,771,,
"S12000021",5399,,5260,,5826,,6436,,6355,,6830,,5647,,7514,,
"S12000050",13335,,13657,,14864,,16095,,15774,,16583,,14070,,17604,,
"S12000023",511,,495,,602,,615,,631,,654,,566,,699,,
"S12000048",3549,,3710,,4093,,4505,,4453,,4686,,3865,,5151,,
"S12000038",4501,,4609,,5245,,6105,,6140,,6479,,5366,,7159,,
"S12000026",3114,,3312,,3614,,3948,,3887,,4148,,3371,,4455,,
"S12000027",348,,388,,451,,499,,457,,482,,638,,560,,
"S12000028",3468,,3322,,3809,,4046,,4068,,4115,,3388,,4510,,
"S12000029",9673,,9492,,10518,,11556,,11212,,11762,,10006,,12935,,
"S12000030",2333,,2235,,2485,,2643,,2562,,2839,,2352,,3002,,
"S12000039",3178,,3134,,3621,,4163,,4083,,4192,,3507,,4616,,
"S12000040",5700,,5791,,6479,,7056,,7261,,7693,,6546,,8304,,
"N09000001",5900,,6018,,5993,,5608,,6030,,6024,,6581,,5814,,
"N09000011",6233,,6469,,6390,,5658,,5953,,6126,,6524,,5599,,
"N09000002",11267,,11514,,11322,,10462,,11014,,11589,,12708,,11241,,
"N09000003",19622,,21000,,20913,,18914,,20194,,18796,,18904,,17561,,
"N09000004",8659,,8434,,8353,,7457,,7339,,7542,,8040,,6980,,
"N09000005",11599,,11750,,11713,,10657,,10440,,9692,,9682,,8684,,
"N09000006",6615,,6520,,6441,,5881,,6142,,6561,,6860,,6252,,
"N09000007",4776,,4689,,4635,,4240,,4659,,4963,,5320,,4687,,
"N09000008",6039,,6243,,6099,,5658,,5994,,6255,,6586,,5687,,
"N09000009",8395,,8327,,7965,,7180,,7497,,8091,,9033,,8079,,
"N09000010",11096,,11229,,10956,,10501,,10810,,11211,,12075,,10990,,
"ZZXXXXXXX",..,,..,,..,,..,,..,,..,,..,,..,,
"Total",2365707,,2485591,,2609787,,2773234,,2809755,,2989006,,2919783,,3042543,,


"INFO","Statistical disclosure control has been applied to this table to avoid the release of confidential data.  Totals may not sum due to the disclosure control applied."


Symbol,Description
"I",""".."" denotes a nil or negligible number of children."
"II","Relative low-income is defined as a family whose equivalised income is below 60 per cent of contemporary median income. Gross income measure is Before Housing Costs (BHC) and includes contributions from earnings, state support and pensions."
"III","Income is equivalised to adjust for household size and family composition."
"IV","Child age is derived as the duration from Date of Birth to 31 March in each year. A child is defined as an individual aged under 16 or 16-19 and they are not married, in a civil partnership nor living with a partner; and are still living with parents/a responsible adult; and are in full-time non-advanced education or in unwaged government training."
"V","Families “in-work” are those to have had an accumulated period of at least 26 weeks paid employment or self-employment within the 52 week tax year. Employment activity is accumulated from either (or both) the adult claimant of Child Benefit and any partner(s) in the tax year."
"VI","Only families to have claimed Child Benefit and at least one other household benefit (Universal Credit, Tax Credit or Housing Benefit) will be included in the statistics."
"p","Figures marked ""p"" are provisional. These figures will be subject to revision in subsequent releases."


Source: Department for Work and Pensions
