Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"Vale of White Horse",6941,7023,7293,7456,7464,7572,7531,7608,7647,7814,7937,7992,7960,
"West Oxfordshire",5976,6047,6230,6444,6630,6703,6614,6499,6248,5993,5843,5782,5756,
"Elmbridge",8876,8984,9283,9465,9762,9942,10074,9929,9653,9306,9118,8878,8698,
"Epsom and Ewell",4387,4440,4625,4635,4857,4947,5051,5045,5059,5142,5102,5066,4947,
"Guildford",7623,7784,7951,8165,8376,8354,8319,8165,7991,7738,7438,7233,7183,
"Mole Valley",4422,4476,4614,4603,4697,4742,4688,4603,4415,4220,4239,4163,4047,
"Reigate and Banstead",8443,8671,8975,9228,9538,9490,9710,9652,9739,9499,9451,9430,9161,
"Runnymede",4376,4523,4727,4850,5018,4996,4906,4881,4917,4879,4917,4981,4903,
"Spelthorne",5437,5606,5845,6031,6107,6265,6291,6405,6459,6463,6374,6279,6192,
"Surrey Heath",5112,5109,5117,5106,5150,5132,5113,5088,5016,4832,4773,4782,4664,
"Tandridge",4654,4769,4877,4928,4908,4920,4910,4954,5012,5051,5063,5111,5054,
"Waverley",7230,7247,7367,7403,7370,7295,7308,7136,7174,7034,6907,6892,6739,
"Woking",6507,6701,7154,7284,7422,7370,7250,7167,7076,6856,6692,6631,6407,
"Adur",3202,3340,3470,3574,3702,3788,3912,3884,3814,3706,3601,3544,3356,
"Arun",6985,7224,7336,7499,7817,7997,7930,7942,8011,7864,7732,7713,7533,
"Chichester",5462,5572,5640,5640,5839,5791,5732,5896,5849,5814,5705,5616,5496,
