time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_new_st,Total_new_st_pc,Total_new_ehc,Total_new_ehc_pc,Total_new_all,Total_new_all_pc
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Total,z,z,308,100,308,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Total,z,z,224,100,224,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Total,z,z,415,100,415,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Total,z,z,507,100,507,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Total,z,z,428,100,428,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Total,z,z,249,100,249,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Total,z,z,914,100,914,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Total,z,z,227,100,227,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Total,z,z,203,100,203,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Total,z,z,449,100,449,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Total,z,z,582,100,582,100
2021,Calendar year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Total,z,z,874,100,874,100
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Under 5,z,z,43,23.8889,43,23.88889
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Under 5,z,z,69,26.0377,69,26.03774
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Under 5,z,z,80,24.9221,80,24.92212
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Under 5,z,z,57,32.2034,57,32.20339
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Under 5,z,z,63,19.3846,63,19.38462
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Under 5,z,z,16,13.7931,16,13.7931
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Under 5,z,z,32,17.3913,32,17.3913
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Under 5,z,z,48,28.5714,48,28.57143
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Under 5,z,z,41,20,41,20
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Under 5,z,z,99,19.0751,99,19.07514
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Under 5,z,z,22,20.1835,22,20.18349
2021,Calendar year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Under 5,z,z,78,21.6667,78,21.66667
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Under 5,z,z,45,20.362,45,20.36199
2021,Calendar year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Under 5,z,z,142,17.0673,142,17.06731
