time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_st,Total_st_pc,Total_ehc,Total_ehc_pc,Total_all,Total_all_pc
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Total,z,z,4292,100,4292,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,z,z,2313,100,2313,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,E08000017,Doncaster,Total,z,z,2385,100,2385,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,E08000018,Rotherham,Total,z,z,2600,100,2600,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,Total,z,z,3997,100,3997,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,Total,z,z,4891,100,4891,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,E08000033,Calderdale,Total,z,z,1714,100,1714,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,E08000034,Kirklees,Total,z,z,3734,100,3734,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,E08000035,Leeds,Total,z,z,5005,100,5005,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,Total,z,z,2704,100,2704,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",Total,z,z,2402,100,2402,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,Total,z,z,2769,100,2769,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total,z,z,1230,100,1230,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,Total,z,z,1149,100,1149,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,E10000023,North Yorkshire,Total,z,z,4000,100,4000,100
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,Total,z,z,1179,100,1179,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total,z,z,4562,100,4562,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Total,z,z,2900,100,2900,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,z,z,5813,100,5813,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,z,z,2954,100,2954,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total,z,z,279,100,279,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Total,z,z,3360,100,3360,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total,z,z,1311,100,1311,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Total,z,z,6534,100,6534,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,Total,z,z,2842,100,2842,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,Total,z,z,2847,100,2847,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total,z,z,10489,100,10489,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,z,z,2572,100,2572,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,z,z,3035,100,3035,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,z,z,2799,100,2799,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,z,z,2023,100,2023,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total,z,z,2856,100,2856,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,z,z,2485,100,2485,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Total,z,z,6437,100,6437,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total,z,z,2540,100,2540,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,"Herefordshire, County of",Total,z,z,1182,100,1182,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,z,z,4555,100,4555,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Total,z,z,1982,100,1982,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total,z,z,1782,100,1782,100
2022,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,z,z,4768,100,4768,100
